,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 580.000,Imóvel 61J1B6,Apartamento em Belo Horizonte,Rua Carlos Gomes,"Apartamento à venda em Santo Antônio com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 600/mês,R$ 145/mês
0,R$ 792.253,Imóvel 141DJKJ,Apartamento em Belo Horizonte,Rua Luiz Silva,"Apartamento à venda em Anchieta com 125 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 550/mês,R$ 286/mês
0,R$ 550.000,Imóvel 18IIM0Q,Apartamento em Belo Horizonte,Rua Silva Viana,"Apartamento à venda em Salgado Filho com 125 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 470/mês,R$ 1.300/ano
0,R$ 420.000,Imóvel 17SE1PE,Apartamento em Belo Horizonte,Rua Perdigão Malheiros,"Apartamento à venda em Coração de Jesus com 85 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 900/mês,R$ 246/mês
0,R$ 295.000,Imóvel 1Z0Y356,Apartamento em Belo Horizonte,Rua Professor Domício Murta,"Apartamento à venda em Ouro Preto com 50 m², 2 quartos","2 quartos
sem suíte",1 Banheiro,R$ 530/mês,R$ 90/mês
0,R$ 399.000,Imóvel 1RIPR7B,Apartamento em Belo Horizonte,Rua Tavares Bastos,"Apartamento à venda em Coração de Jesus com 75 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 400/mês,R$ 118/mês
0,R$ 450.000,Imóvel Z2MHQT,Apartamento em Belo Horizonte,Rua Nilton Baldo,"Apartamento à venda em Paquetá com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 300/mês,R$ 95/mês
0,R$ 490.000,Imóvel 1JXSSWJ,Apartamento em Belo Horizonte,Rua Samuel Pereira,"Apartamento à venda em Anchieta com 69 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 800/mês,R$ 70/mês
0,R$ 369.000,Imóvel 1Q2TCVD,Apartamento em Belo Horizonte,Rua Macáo,"Apartamento à venda em Coração de Jesus com 75 m², 3 quartos, 1 suíte","3 quartos
1 suíte",2 Banheiros,R$ 520/mês,R$ 109/mês
0,R$ 390.000,Imóvel 1P2OY34,Apartamento em Belo Horizonte,Rua Henrique Furtado Portugal,"Apartamento à venda em Buritis com 64 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 250/mês,R$ 64/mês
0,R$ 169.000,Imóvel 1U4BQOT,Apartamento em Belo Horizonte,Rua Araribá,"Apartamento à venda em São Cristóvão com 63 m², 1 quarto, 3 vagas","1 quarto
sem suíte",3 vagas,R$ 270/mês,R$ 1/mês
0,R$ 430.000,Imóvel RRAA8H,Apartamento em Belo Horizonte,Rua Bolivar Mineiro,"Apartamento à venda em Dona Clara com 92 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 310/mês,R$ 130/mês
0,R$ 580.000,Imóvel JFIVLT,Apartamento em Belo Horizonte,Rua Cardeal Stepinac,"Apartamento à venda em Cidade Nova com 115 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 400/mês,R$ 1.540/ano
