preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 1.484.000; 1RUQ6KB;São Paulo;Rua dos Pinheiros;Apartamento à venda em Pinheiros com 68 m², 2 quartos, 1 vaga;1;2;R$ 530; R$ 152,50 ;68;R$ 21.824;Pinheiros       
R$ 1.200.000; 1NDUYA8;São Paulo;Rua Camburiú;Apartamento à venda em Alto da Lapa com 115 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.195; R$ 391,00 ;115;R$ 10.435;   Alto da Lapa       
R$ 1.160.000; 1UT6HT2;São Paulo;Rua Cunha Gago;Apartamento à venda em Pinheiros com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 984; R$ 276,00 ;60;R$ 19.333;   Pinheiros       
R$ 580.000; NGVFTG;São Paulo;Rua Adelino de Almeida Castilho;Apartamento à venda em Tatuapé com 68 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 400; R$ -   ;68;R$ 8.529;   Tatuapé         
R$ 795.000; WBLJ5Z;São Paulo;Rua Araçoiaba;Apartamento à venda em Saúde com 64 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 791; R$ 266,67 ;64;R$ 12.422;   Saúde         
R$ 1.000.000; DQNL6L;São Paulo;Avenida Rebouças;Apartamento à venda em Pinheiros com 40 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 740; R$ 220,00 ;40;R$ 25.000;   Pinheiros       
R$ 670.000; SN4SBY;São Paulo;Alameda dos Tupiniquins;Apartamento à venda em Moema Índios com 55 m², 2 quartos, 1 vaga;1;2;R$ 858; R$ 208,00 ;55;R$ 12.182;   Moema Índios       
R$ 650.000; AF20SW;São Paulo;Rua Cipriano Barata;Apartamento à venda em Ipiranga com 65 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 630; R$ 158,33 ;65;R$ 10.000;   Ipiranga         
R$ 1.480.000; 1R7EQ7I;São Paulo;Rua Estevão Baião;Apartamento à venda em Campo Belo com 123 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.030; R$ 500,00 ;123;R$ 12.033;   Campo Belo         
R$ 1.250.000; 16LC6UA;São Paulo;Avenida Bosque da Saúde;Apartamento à venda em Bosque da Saúde com 105 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 809; R$ 29,75 ;105;R$ 11.905;   Bosque da Saúde         
R$ 590.000; 1LV5WVV;São Paulo;Rua Retiro;Apartamento à venda em Tatuapé com 68 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 490; R$ 41,67 ;68;R$ 8.676;   Tatuapé         
R$ 1.300.000; 1I3D0WX;São Paulo;Rua Padre José de Anchieta;Apartamento à venda em Santo Amaro com 115 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 1.100; R$ 250,00 ;115;R$ 11.304;   Santo Amaro         
R$ 761.000; 19KFKXA;São Paulo;Rua Demóstenes;Apartamento à venda em Campo Belo com 45 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 800; R$ -   ;45;R$ 16.911;   Campo Belo         
R$ 790.000; K5K3UG;São Paulo;Rua Piracuama;Apartamento à venda em Perdizes com 63 m², 2 quartos, 2 vagas;2;1;R$ 700; R$ 37,50 ;63;R$ 12.540;   Perdizes       
R$ 1.250.000; G03YAJ;São Paulo;Rua Nova York;Apartamento à venda em Brooklin com 64 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 620; R$ 147,00 ;64;R$ 19.531;   Brooklin         
R$ 960.000; HS7RZ0;São Paulo;Rua Loefgren;Apartamento à venda em Chácara Klabin com 94 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.000; R$ 400,00 ;94;R$ 10.213;   Chácara Klabin         
R$ 460.000; 1B9PTCJ;São Paulo;Rua Guarará;Apartamento à venda em Jardim Paulista com 29 m², 1 quarto, 1 vaga;1;1;R$ 1.250; R$ 144,00 ;29;R$ 15.862;   Jardim Paulista       
R$ 400.000; M3XRCC;São Paulo;Alameda Campinas;Apartamento à venda em Jardim Paulista com 27 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.386; R$ 297,00 ;27;R$ 14.815;   Jardim Paulista       
R$ 1.150.000; JDN838;São Paulo;Rua Apeninos;Apartamento à venda em Aclimação com 66 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 850; R$ 126,67 ;66;R$ 17.424;   Aclimação         
R$ 450.000; 1YPQ1RJ;São Paulo;Rua Alfredo Jorel;Apartamento à venda em Sacomã com 62 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 426; R$ 0,08 ;62;R$ 7.258;Sacomã
R$ 461.000; 28NJBR;São Paulo;Avenida Moema;Apartamento à venda em Moema Índios com 32 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 1.234; R$ 128,58 ;32;R$ 14.406;   Moema Índios       
R$ 995.000; 17LLHEB;São Paulo;Rua da Independência;Apartamento à venda em Cambuci com 98 m², 3 quartos, 1 suíte, 3 vagas;3;3;R$ 1.000; R$ 416,67 ;98;R$ 10.153;   Cambuci       
R$ 390.000; 1RZ0RPY;São Paulo;Rua César Vallejo;Apartamento à venda em Morumbi com 35 m², 1 quarto, 1 vaga;1;1;R$ 430; R$ 12,00 ;35;R$ 11.143;   Morumbi       
R$ 380.000; 2BOTWL;São Paulo;Rua Fernão Dias;Apartamento à venda em Pinheiros com 27 m², 1 quarto;0;1;R$ 290; R$ 200,00 ;27;R$ 14.074;   Pinheiros       
R$ 1.021.300; 1JEEK7E;São Paulo;Rua São Benedito;Apartamento à venda em Santo Amaro com 70 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 785; R$ 204,83 ;70;R$ 14.590;   Santo Amaro         
R$ 1.590.000; V88TSS;São Paulo;Rua da Consolação;Apartamento à venda em Jardim América com 110 m², 2 quartos, 2 suítes, 1 vaga;1;5;R$ 1.270; R$ 26,67 ;110;R$ 14.455;   Jardim América         
R$ 958.000; 8WAPQ9;São Paulo;Rua Joinville;Apartamento à venda em Paraíso com 100 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.349; R$ 13,83 ;100;R$ 9.580;   Paraíso         
R$ 1.000.000; 7UQF3G;São Paulo;Rua Duílio;Apartamento à venda em Lapa com 94 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 907; R$ 43,00 ;94;R$ 10.638;   Lapa         
R$ 615.000; 15PI8EG;São Paulo;Rua Jaíba;Apartamento à venda em Ipiranga com 65 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 500; R$ 125,00 ;65;R$ 9.462;   Ipiranga         
R$ 800.000; OU6H3X;São Paulo;Rua Professor Ciridião Buarque;Apartamento à venda em Vila Romana com 65 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 800; R$ 208,33 ;65;R$ 12.308;   Vila Romana         
R$ 745.000; PLOYSG;São Paulo;Rua Doutor Miranda de Azevedo;Apartamento à venda em Vila Romana com 55 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 610; R$ 9,17 ;55;R$ 13.545;   Vila Romana         
R$ 737.760; OJAUBM;São Paulo;Rua Faustolo;Apartamento à venda em Lapa com 62 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 600; R$ 241,67 ;62;R$ 11.899;   Lapa         
R$ 699.000; IQCE0T;São Paulo;Rua Campos Vergueiro;Apartamento à venda em Lapa com 60 m², 2 quartos, 1 vaga;1;2;R$ 520; R$ 166,67 ;60;R$ 11.650;   Lapa         
R$ 330.190; EPC4WB;São Paulo;Rua Costa Barros;Apartamento à venda em São Lucas com 60 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 400; R$ 0,83 ;60;R$ 5.503;   São Lucas         
R$ 830.000; 1C967ZU;São Paulo;Avenida Giovanni Gronchi;Apartamento à venda em Vila Andrade com 96 m², 3 quartos, 2 suítes, 2 vagas;2;2;R$ 800; R$ 266,67 ;96;R$ 8.646;   Vila Andrade         
R$ 852.000; 11254UD;São Paulo;Rua Carlos Weber;Apartamento à venda em Alto da Lapa com 72 m², 2 quartos, 1 vaga;1;2;R$ 920; R$ 146,33 ;72;R$ 11.833;   Alto da Lapa       
R$ 380.000; 19GQG0I;São Paulo;Rua Dona Estela Borges Morato;Apartamento à venda em Limão com 50 m², 2 quartos, 1 vaga;1;1;R$ 450; R$ -   ;50;R$ 7.600;   Limão       
R$ 330.000; 1K539RJ;São Paulo;Rua Clímaco Barbosa;Apartamento à venda em Cambuci com 36 m², 1 quarto, 1 vaga;1;1;R$ 350; R$ -   ;36;R$ 9.167;   Cambuci       
R$ 510.000; 2Q5G8U;São Paulo;Avenida Ernesto Igel;Apartamento à venda em Vila Leopoldina com 53 m², 2 quartos, 1 vaga;1;1;R$ 390; R$ 0,75 ;53;R$ 9.623;   Vila Leopoldina       
R$ 400.000; 119SH4D;São Paulo;Rua Filipinas;Apartamento à venda em Alto da Lapa com 45 m², 1 quarto, 1 vaga;1;1;R$ 650; R$ 125,00 ;45;R$ 8.889;   Alto da Lapa       
R$ 385.000; 1T83CWL;São Paulo;Avenida Tiradentes;Apartamento à venda em Bom Retiro com 50 m², 2 quartos, 1 vaga;1;1;R$ 410; R$ -   ;50;R$ 7.700;   Bom Retiro       
R$ 780.000; 1IKE7B7;São Paulo;Rua Viaza;Apartamento à venda em Campo Belo com 66 m², 2 quartos, 2 suítes, 1 vaga;1;2;R$ 661; R$ 51,00 ;66;R$ 11.818;   Campo Belo         
R$ 520.000; LEGUZV;São Paulo;Rua dos Americanos;Apartamento à venda em Bom Retiro com 57 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 670; R$ -   ;57;R$ 9.123;   Bom Retiro       
R$ 699.000; NNRYJL;São Paulo;Rua Maria Carolina;Apartamento à venda em Pinheiros com 37 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 450; R$ 9,17 ;37;R$ 18.892;   Pinheiros       
R$ 510.000; 75ZRJJ;São Paulo;Rua Teodoro Sampaio;Apartamento à venda em Pinheiros com 44 m², 2 quartos;0;1;R$ 724; R$ 70,00 ;44;R$ 11.591;   Pinheiros       
R$ 845.000; 1UCQA0N;São Paulo;Rua Viradouro;Apartamento à venda em Itaim Bibi com 92 m², 2 quartos, 1 vaga;1;2;R$ 1.200; R$ -   ;92;R$ 9.185;   Itaim Bibi       
R$ 1.355.000; UVEP3Q;São Paulo;Alameda Lorena;Apartamento à venda em Jardim América com 99 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.155; R$ 465,00 ;99;R$ 13.687;   Jardim América         
R$ 380.000; 167UHX0;São Paulo;Avenida do Guacá;Apartamento à venda em Mandaqui com 56 m², 2 quartos, 1 vaga;1;1;R$ 460; R$ 15,00 ;56;R$ 6.786;   Mandaqui       
R$ 925.000; RPVOUU;São Paulo;Rua Pamplona;Apartamento à venda em Jardim Paulista com 89 m², 2 quartos, 1 vaga;1;1;R$ 1.459; R$ 158,00 ;89;R$ 10.393;   Jardim Paulista       
R$ 885.000; 117C371;São Paulo;Rua Viradouro;Apartamento à venda em Itaim Bibi com 92 m², 2 quartos, 1 vaga;1;2;R$ 1.200; R$ -   ;92;R$ 9.620;   Itaim Bibi       
R$ 440.000; 1B6GSCV;São Paulo;Avenida Professor Luiz Ignácio Anhaia Mello;Apartamento à venda em São Lucas com 54 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 423; R$ -   ;54;R$ 8.148;   São Lucas         
R$ 600.000; CN1TW;São Paulo;Avenida Doutor Gentil de Moura;Apartamento à venda em Ipiranga com 56 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 500; R$ 5,00 ;56;R$ 10.714;   Ipiranga         
R$ 690.000; 1PL7H10;São Paulo;Rua Francisco Leitão;Apartamento à venda em Pinheiros com 44 m², 1 quarto, 1 suíte, 2 vagas;2;2;R$ 640; R$ 1,42 ;44;R$ 15.682;   Pinheiros       
R$ 479.120; ZSVTED;São Paulo;Rua Charles Spencer Chaplin;Apartamento à venda em Vila Andrade com 50 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 714; R$ 190,00 ;50;R$ 9.582;   Vila Andrade         
R$ 865.000; 1D8PLX0;São Paulo;Avenida Mofarrej;Apartamento à venda em Vila Leopoldina com 79 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 980; R$ 253,00 ;79;R$ 10.949;   Vila Leopoldina       
R$ 890.000; O9QM7B;São Paulo;Rua Paris;Apartamento à venda em Sumaré com 64 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 750; R$ 20,83 ;64;R$ 13.906;   Sumaré       
R$ 735.000; O0I86N;São Paulo;Rua Tucuna;Apartamento à venda em Perdizes com 54 m², 2 quartos, 1 vaga;1;1;R$ 918; R$ 10,50 ;54;R$ 13.611;   Perdizes       
R$ 509.000; M5OIOQ;São Paulo;Rua Doutor Nogueira Martins;Apartamento à venda em Saúde com 55 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 815; R$ 282,00 ;55;R$ 9.255;   Saúde         
R$ 467.221; 1UKFB9T;São Paulo;Rua Capistrano de Abreu;Apartamento à venda em Santa Cecília com 50 m², 2 quartos, 1 vaga;1;1;R$ 650; R$ 13,83 ;50;R$ 9.344;   Santa Cecília       
R$ 870.000; QQ8P8X;São Paulo;Rua Diogo de Quadros;Apartamento à venda em Santo Amaro com 63 m², 2 quartos, 1 suíte, 1 vaga;1;1;R$ 651; R$ 214,00 ;63;R$ 13.810;   Santo Amaro         
R$ 699.017; 1YRI9L6;São Paulo;Rua Nelson Gama de Oliveira;Apartamento à venda em Vila Andrade com 96 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 693; R$ 241,67 ;96;R$ 7.281;   Vila Andrade         
R$ 1.290.000; 1GKDA8O;São Paulo;Rua Doutor Miranda de Azevedo;Apartamento à venda em Vila Romana com 110 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 1.140; R$ 375,00 ;110;R$ 11.727;   Vila Romana         
R$ 500.000; 1LBA41A;São Paulo;Rua Itapimirum;Apartamento à venda em Vila Andrade com 69 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 814; R$ 158,00 ;69;R$ 7.246;   Vila Andrade         
R$ 328.600; 1M3MWDG;São Paulo;Rua Serra Redonda;Apartamento à venda em São Lucas com 63 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 364; R$ -   ;63;R$ 5.216;   São Lucas         
R$ 784.400; 8T3IIE;São Paulo;Avenida Mofarrej;Apartamento à venda em Vila Leopoldina com 70 m², 1 suíte, 1 vaga;1;1;R$ 750; R$ 50,00 ;70;R$ 11.206;   Vila Leopoldina       
R$ 750.000; 1V8MNE4;São Paulo;Rua Senador Joaquim Ribeiro do Valle;Apartamento à venda em Vila Leopoldina com 76 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 730; R$ 17,42 ;76;R$ 9.868;   Vila Leopoldina       
R$ 850.000; 1KK14EV;São Paulo;Rua Flórida;Apartamento à venda em Brooklin com 42 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 660; R$ 33,33 ;42;R$ 20.238;   Brooklin         
R$ 874.000; 1F23U35;São Paulo;Rua Dona Maria Pera;Apartamento à venda em Saúde com 88 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.264; R$ 262,17 ;88;R$ 9.932;   Saúde         
R$ 525.000; 1D75E48;São Paulo;Rua Oscar Freire;Apartamento à venda em Pinheiros com 20 m², 1 quarto;0;1;R$ 315; R$ 83,33 ;20;R$ 26.250;   Pinheiros       
R$ 690.000; 1ININA7;São Paulo;Rua Doutor Paschoal Imperatriz;Apartamento à venda em Brooklin com 48 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 950; R$ 208,33 ;48;R$ 14.375;   Brooklin         
R$ 2.500.000; 19VM83H;São Paulo;Rua Michigan;Apartamento à venda em Brooklin com 105 m², 2 quartos, 2 suítes, 2 vagas;2;4;R$ 110; R$ 35,83 ;105;R$ 23.810;   Brooklin         
R$ 2.060.000; CE6BE5;São Paulo;Rua Urimonduba;Apartamento à venda em Itaim Bibi com 135 m², 3 quartos, 1 suíte, 1 vaga;1;4;R$ 1.430; R$ 3,17 ;135;R$ 15.259;   Itaim Bibi       
R$ 580.000; O4F2QX;São Paulo;Rua Visconde de Inhaúma;Apartamento à venda em Saúde com 64 m², 2 quartos, 1 vaga;1;2;R$ 850; R$ 111,00 ;64;R$ 9.063;   Saúde         
R$ 490.000; 4YCFC4;São Paulo;Rua Ibituruna;Apartamento à venda em Saúde com 52 m², 2 quartos, 1 vaga;1;1;R$ 590; R$ 23,50 ;52;R$ 9.423;   Saúde         
R$ 615.000; BNO5LT;São Paulo;Rua Alabastro;Apartamento à venda em Aclimação com 63 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 800; R$ 85,00 ;63;R$ 9.762;   Aclimação         
R$ 1.004.000; 1RY850G;São Paulo;Rua Fernão Dias;Apartamento à venda em Pinheiros com 57 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.062; R$ 232,00 ;57;R$ 17.614;   Pinheiros       
R$ 220.000; 1SBKQ73;São Paulo;Avenida Francisco Matarazzo;Apartamento à venda em Perdizes com 30 m², 1 quarto, 1 vaga;1;1;R$ 295; R$ 44,17 ;30;R$ 7.333;   Perdizes       
R$ 418.000; 1BRAGN8;São Paulo;Rua Maestro Elias Lobo;Apartamento à venda em Jardim Paulistano com 31 m², 1 quarto, 1 vaga;1;1;R$ 950; R$ 108,33 ;31;R$ 13.484;   Jardim Paulistano       
R$ 990.000; BOXZ4O;São Paulo;Rua Bitencourt Sampaio;Apartamento à venda em Chácara Klabin com 70 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 636; R$ 300,00 ;70;R$ 14.143;   Chácara Klabin         
R$ 750.000; 15WWN0C;São Paulo;Rua Rubens Meireles;Apartamento à venda em Barra Funda com 82 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 650; R$ 20,83 ;82;R$ 9.146;   Barra Funda         
R$ 780.000; R4VMUD;São Paulo;Avenida Nove de Julho;Apartamento à venda em Jardim Paulista com 48 m², 2 quartos, 1 vaga;1;1;R$ 840; R$ 276,00 ;48;R$ 16.250;   Jardim Paulista       
R$ 669.900; PVINOU;São Paulo;Rua Heitor Peixoto;Apartamento à venda em Cambuci com 67 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 687; R$ 238,00 ;67;R$ 9.999;   Cambuci       
R$ 1.280.000; 1047LD1;São Paulo;Rua Ipiranga;Apartamento à venda em Campo Belo com 109 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.000; R$ 287,50 ;109;R$ 11.743;   Campo Belo         
R$ 981.000; 5S1CUN;São Paulo;Rua Heitor Peixoto;Apartamento à venda em Cambuci com 68 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 700; R$ 379,00 ;68;R$ 14.426;   Cambuci       
R$ 450.000; UVIJ6U;São Paulo;Rua Pelotas;Apartamento à venda em Vila Mariana com 43 m², 1 quarto, 1 vaga;1;1;R$ 800; R$ 4,17 ;43;R$ 10.465;   Vila Mariana       
R$ 1.600.000; RJ8DDT;São Paulo;Rua Presidente Prudente;Apartamento à venda em Jardim Paulistano com 150 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 2.650; R$ 400,00 ;150;R$ 10.667;   Jardim Paulistano       
R$ 420.000; 1E8YTX5;São Paulo;Rua Gama Lobo;Apartamento à venda em Ipiranga com 39 m², 1 quarto, 1 vaga;1;1;R$ 700; R$ -   ;39;R$ 10.769;   Ipiranga         
R$ 255.000; 1I8LCGY;São Paulo;Rua Odorico Mendes;Apartamento à venda em Cambuci com 37 m², 1 quarto;0;1;R$ 300; R$ -   ;37;R$ 6.892;   Cambuci       
R$ 799.000; DYTN50;São Paulo;Rua Barata Ribeiro;Apartamento à venda em Bela Vista com 53 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 735; R$ 115,00 ;53;R$ 15.075;   Bela Vista         
R$ 1.300.000; H06OKB;São Paulo;Rua Tito;Apartamento à venda em Lapa com 88 m², 3 quartos, 1 suíte, 3 vagas;3;3;R$ 1.100; R$ 47,92 ;88;R$ 14.773;   Lapa         
R$ 690.000; QVUDDW;São Paulo;Rua Doutor Alfredo de Castro;Apartamento à venda em Perdizes com 57 m², 2 quartos, 1 vaga;1;1;R$ 647; R$ 16,83 ;57;R$ 12.105;   Perdizes       
R$ 990.000; SKADPO;São Paulo;Rua Tagipuru;Apartamento à venda em Perdizes com 88 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 690; R$ 2,25 ;88;R$ 11.250;   Perdizes       
R$ 724.000; 383KUH;São Paulo;Rua Apotribu;Apartamento à venda em Saúde com 57 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 1.200; R$ 166,58 ;57;R$ 12.702;   Saúde         
R$ 998.000; 1Q176ZP;São Paulo;Rua Nebraska;Apartamento à venda em Brooklin com 81 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.360; R$ 335,00 ;81;R$ 12.321;   Brooklin         
R$ 650.000; 19FRRBW;São Paulo;Rua João Rudge;Apartamento à venda em Casa Verde com 65 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 470; R$ 1,67 ;65;R$ 10.000;   Casa Verde         
R$ 720.800; QSESZQ;São Paulo;Rua Coronel Diogo;Apartamento à venda em Chácara Klabin com 64 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 900; R$ 233,33 ;64;R$ 11.263;   Chácara Klabin         
R$ 1.125.000; 1PUPMNQ;São Paulo;Rua Carlos Weber;Apartamento à venda em Vila Leopoldina com 88 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 714; R$ 191,00 ;88;R$ 12.784;   Vila Leopoldina       
R$ 535.000; 168O88F;São Paulo;Rua Capistrano de Abreu;Apartamento à venda em Santa Cecília com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 670; R$ 59,00 ;60;R$ 8.917;   Santa Cecília       
R$ 790.000; 17H6E1;São Paulo;Rua Raul Pompéia;Apartamento à venda em Vila Romana com 70 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 800; R$ 15,33 ;70;R$ 11.286;   Vila Romana         
R$ 760.000; 1U9ZHO9;São Paulo;Rua Neves de Carvalho;Apartamento à venda em Bom Retiro com 98 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 900; R$ 200,00 ;98;R$ 7.755;   Bom Retiro       
R$ 650.000; 1YTNXM1;São Paulo;Rua Paraná;Apartamento à venda em Brás com 69 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 570; R$ 125,00 ;69;R$ 9.420;   Brás         
R$ 742.000; QN02VY;São Paulo;Rua Ambrosina de Macedo;Apartamento à venda em Vila Mariana com 103 m², 2 quartos, 1 vaga;1;2;R$ 1.240; R$ 65,67 ;103;R$ 7.204;   Vila Mariana       
R$ 340.000; 13N67UT;São Paulo;Rua Costa Barros;Apartamento à venda em São Lucas com 60 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 406; R$ -   ;60;R$ 5.667;   São Lucas         
R$ 1.275.000; 7VU21H;São Paulo;Alameda Franca;Apartamento à venda em Jardim Paulista com 109 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.261; R$ 403,00 ;109;R$ 11.697;   Jardim Paulista       
R$ 826.800; 1YFZB9U;São Paulo;Rua Coronel Diogo;Apartamento à venda em Chácara Klabin com 66 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 622; R$ 266,00 ;66;R$ 12.527;   Chácara Klabin         
R$ 670.000; UO7W8F;São Paulo;Rua Gregório Serrão;Apartamento à venda em Aclimação com 55 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 889; R$ 215,00 ;55;R$ 12.182;   Aclimação         
R$ 350.000; 13OSXND;São Paulo;Rua Eugênio de Freitas;Apartamento à venda em Vila Guilherme com 48 m², 2 quartos, 1 vaga;1;1;R$ 405; R$ -   ;48;R$ 7.292;   Vila Guilherme       
R$ 420.000; 13WZJ41;São Paulo;Avenida Jamaris;Apartamento à venda em Moema Índios com 35 m², 1 quarto, 1 vaga;1;1;R$ 1.333; R$ 244,00 ;35;R$ 12.000;   Moema Índios       
R$ 350.000; 165T6N7;São Paulo;Rua do Hipódromo;Apartamento à venda em Brás com 45 m², 2 quartos, 1 vaga;1;1;R$ 360; R$ -   ;45;R$ 7.778;   Brás         
R$ 841.000; WGU5BB;São Paulo;Alameda Fernão Cardim;Apartamento à venda em Jardim Paulista com 45 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 976; R$ 359,00 ;45;R$ 18.689;   Jardim Paulista       
R$ 349.800; 1F4N9WW;São Paulo;Rua Tiquatira;Apartamento à venda em Cursino com 40 m², 1 quarto, 1 vaga;1;1;R$ 360; R$ 12,50 ;40;R$ 8.745;   Cursino       
R$ 1.100.000; 1BOMHIS;São Paulo;Rua João Cachoeira;Apartamento à venda em Itaim Bibi com 85 m², 3 quartos, 1 vaga;1;2;R$ 834; R$ 61,25 ;85;R$ 12.941;   Itaim Bibi       
R$ 360.000; ZBPTFS;São Paulo;Avenida Jardim Japão;Apartamento à venda em Tucuruvi com 53 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 540; R$ 14,58 ;53;R$ 6.792;   Tucuruvi         
R$ 630.000; V21TAJ;São Paulo;Rua Frederico Penteado Júnior;Apartamento à venda em Casa Verde com 62 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 450; R$ -   ;62;R$ 10.161;   Casa Verde         
R$ 670.000; QAA5S5;São Paulo;Rua Carvalho de Freitas;Apartamento à venda em Vila Andrade com 104 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.200; R$ 208,33 ;104;R$ 6.442;   Vila Andrade         
R$ 350.000; GGM1XW;São Paulo;Avenida Professor Celestino Bourroul;Apartamento à venda em Limão com 50 m², 2 quartos, 1 vaga;1;1;R$ 311; R$ -   ;50;R$ 7.000;   Limão       
R$ 920.000; 1QX85Z5;São Paulo;Avenida Doutor Gastão Vidigal;Apartamento à venda em Vila Leopoldina com 93 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.170; R$ 340,00 ;93;R$ 9.892;   Vila Leopoldina       
R$ 290.000; 1OJSR0Z;São Paulo;Rua Dom Salomão Ferraz;Apartamento à venda em Vila Andrade com 58 m², 2 quartos, 1 vaga;1;1;R$ 522; R$ 76,67 ;58;R$ 5.000;   Vila Andrade         
R$ 1.145.000; 2UKUZA;São Paulo;Avenida Doutor Cardoso de Melo;Apartamento à venda em Vila Olímpia com 72 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 1.000; R$ 241,00 ;72;R$ 15.903;   Vila Olímpia         
R$ 454.694; 146C08I;São Paulo;Rua João Simões de Souza;Apartamento à venda em Vila Andrade com 69 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 600; R$ 189,00 ;69;R$ 6.590;   Vila Andrade         
R$ 335.000; 19U64X9;São Paulo;Rua Bartolomeu do Canto;Apartamento à venda em Limão com 50 m², 2 quartos, 1 vaga;1;1;R$ 400; R$ -   ;50;R$ 6.700;   Limão       
R$ 725.000; 7IKHO1;São Paulo;Rua Heitor de Souza Pinheiro;Apartamento à venda em Vila Andrade com 72 m², 2 quartos, 2 vagas;2;2;R$ 898; R$ 17,33 ;72;R$ 10.069;   Vila Andrade         
R$ 320.000; 1GOVR9;São Paulo;Rua Doutor Carlos Aldrovandi;Apartamento à venda em Vila Andrade com 53 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 598; R$ -   ;53;R$ 6.038;   Vila Andrade         
