preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 4.421.170; 1LVANGT;São Paulo;Rua Mário Whately;Apartamento à venda em Alto da Lapa com 235 m², 4 quartos, 4 suítes, 4 vagas;4;10;R$ 3.150; R$ 176,17 ;235;R$ 18.813;   Alto da Lapa       
R$ 3.200.000; 9DQH61;São Paulo;Rua Caiubi;Apartamento à venda em Perdizes com 172 m², 3 quartos, 3 suítes, 4 vagas;4;5;R$ 2.750; R$ 0,08 ;172;R$ 18.605;   Perdizes       
R$ 2.970.000; 1V9LDX0;São Paulo;Rua Raul Pompéia;Apartamento à venda em Vila Romana com 216 m², 4 quartos, 4 suítes, 4 vagas;4;5;R$ 1.800; R$ 1.130,00 ;216;R$ 13.750;   Vila Romana         
R$ 2.128.000; 2S67R0;São Paulo;Alameda Jaú;Apartamento à venda em Jardim Paulista com 200 m², 4 quartos, 2 suítes, 2 vagas;2;4;R$ 7.000; R$ 1.000,00 ;200;R$ 10.640;   Jardim Paulista       
R$ 3.500.000; 9K1BQ4;São Paulo;Rua Aimberê;Apartamento à venda em Perdizes com 251 m², 4 quartos, 4 suítes, 5 vagas;5;6;R$ 2.400; R$ 141,67 ;251;R$ 13.944;   Perdizes       
R$ 2.200.000; 1S2UDJ1;São Paulo;Rua Santo Egídio;Apartamento à venda em Santana com 140 m², 3 quartos, 3 suítes, 2 vagas;2;5;R$ 1.600; R$ 45,83 ;140;R$ 15.714;   Santana         
R$ 2.850.000; XX4G9W;São Paulo;Rua Francisca Júlia;Apartamento à venda em Santana com 280 m², 4 quartos, 4 suítes, 4 vagas;4;6;R$ 3.420; R$ 0,08 ;280;R$ 10.179;   Santana         
R$ 1.750.000; 18DTU2;São Paulo;Rua Tibiri;Apartamento à venda em Jardim São Paulo com 135 m², 3 quartos, 3 suítes, 4 vagas;4;5;R$ 1.140; R$ 57,67 ;135;R$ 12.963;   Jardim São Paulo         
R$ 2.970.000; 1TCTSC2;São Paulo;Rua Dionísio da Costa;Apartamento à venda em Chácara Klabin com 162 m², 3 quartos, 3 suítes, 3 vagas;3;5;R$ 1.600; R$ 250,00 ;162;R$ 18.333;   Chácara Klabin         
R$ 2.950.000; ZUK5FY;São Paulo;Avenida Paulista;Apartamento à venda em Jardim América com 250 m², 3 quartos, 1 suíte;Indisponivel;3;R$ 2.200; R$ 625,00 ;250;R$ 11.800;   Jardim América         
R$ 1.400.000; 1HV05Z4;São Paulo;Rua Estevão de Almeida;Apartamento à venda em Perdizes com 135 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 1.979; R$ 550,00 ;135;R$ 10.370;   Perdizes       
R$ 700.000; 15TYPQQ;São Paulo;Rua Aimberê;Apartamento à venda em Perdizes com 62 m², 2 quartos, 1 vaga;1;2;R$ 840; R$ 53,00 ;62;R$ 11.290;   Perdizes       
R$ 2.340.000; HTA0I7;São Paulo;Rua Conde de Porto Alegre;Apartamento à venda em Campo Belo com 200 m², 4 quartos, 3 suítes, 3 vagas;3;4;R$ 2.363; R$ 1.385,00 ;200;R$ 11.700;   Campo Belo         
R$ 1.900.000; 1J9QJ49;São Paulo;Rua Castro Alves;Apartamento à venda em Aclimação com 258 m², 5 quartos, 4 suítes, 3 vagas;3;5;R$ 3.303; R$ 139,92 ;258;R$ 7.364;   Aclimação         
R$ 3.500.000; 18796WB;São Paulo;Rua Caraíbas;Apartamento à venda em Perdizes com 230 m², 4 quartos, 4 suítes, 5 vagas;5;6;R$ 2.747; R$ 1.685,00 ;230;R$ 15.217;   Perdizes       
R$ 1.700.000; 1KEYR6F;São Paulo;Rua Voluntários da Pátria;Apartamento à venda em Santana com 164 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.800; R$ 45,83 ;164;R$ 10.366;   Santana         
R$ 1.950.000; WNTYZV;São Paulo;Rua Itapicuru;Apartamento à venda em Perdizes com 128 m², 3 quartos, 3 suítes, 3 vagas;3;4;R$ 2.000; R$ 965,00 ;128;R$ 15.234;   Perdizes       
R$ 13.250.000; R3KCQN;São Paulo;Rua Barão de Capanema;Apartamento à venda em Jardim América com 450 m², 4 quartos, 3 suítes, 5 vagas;5;7;R$ 6.700; R$ 308,33 ;450;R$ 29.444;   Jardim América         
