,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,etc_apart,condominio,iptu
0,R$ 2.950.000,Imóvel 165ADDY,Apartamento em São Paulo,Rua Doutor Rafael de Barros,"Apartamento à venda em Paraíso com 333 m², 3 quartos, 3 suítes, 5 vagas",5 vagas,5 Banheiros,Lavabo,R$ 4.590/mês,R$ 22.500/ano
0,R$ 3.500.000,Imóvel 5FQHLV,Apartamento em São Paulo,Alameda Joaquim Eugênio de Lima,"Apartamento à venda em Bela Vista com 323 m², 4 quartos, 2 suítes, 3 vagas",3 vagas,5 Banheiros,Lavabo,R$ 3.600/mês,R$ 12.000/ano
0,R$ 1.200.000,Imóvel TJNWMZ,Apartamento em São Paulo,Rua Pamplona,"Apartamento à venda em Bela Vista com 32 m², 1 quarto, 1 vaga",1 vaga,1 Banheiro,Indisponivel,R$ 1.222/mês,R$ 259/mês
0,R$ 2.332.000,Imóvel 1UOU31A,Apartamento em São Paulo,Rua Oscar Freire,"Apartamento à venda em Pinheiros com 72 m², 1 quarto, 1 vaga",1 vaga,2 Banheiros,Indisponivel,R$ 1.222/mês,R$ 6.000/ano
0,R$ 4.000.000,Imóvel 6S1ZQV,Apartamento em São Paulo,Alameda Afonso Schmidt,"Apartamento à venda em Santana com 264 m², 4 quartos, 4 suítes, 5 vagas",5 vagas,6 Banheiros,Indisponivel,R$ 3.792/mês,R$ 2.420/ano
0,R$ 9.000.000,Imóvel 1B777MH,Apartamento em São Paulo,Rua Maranhão,"Apartamento à venda em Higienópolis com 443 m², 4 quartos, 4 suítes, 5 vagas",5 vagas,10 Banheiros,Indisponivel,R$ 7.500/mês,R$ 3.000/ano
0,R$ 3.200.000,Imóvel 1DWVFOW,Apartamento em São Paulo,Rua Daniel Rossi,"Apartamento à venda em Santana com 274 m², 4 quartos, 3 suítes, 6 vagas",6 vagas,6 Banheiros,Indisponivel,R$ 1.700/mês,R$ 1.600/ano
0,R$ 2.980.000,Imóvel XRI916,Apartamento em São Paulo,Rua Cônego Manuel Vaz,"Apartamento à venda em Santana com 250 m², 4 quartos, 4 suítes, 5 vagas",5 vagas,4 Banheiros,Indisponivel,R$ 1.900/mês,R$ 166/mês
0,R$ 1.950.000,Imóvel 8RLC0L,Apartamento em São Paulo,Rua Joaquim Antunes,"Apartamento à venda em Pinheiros com 229 m², 4 quartos, 2 suítes, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 1.593/mês,R$ 5.000/ano
0,R$ 8.090.000,Imóvel 1BFIXXV,Apartamento em São Paulo,Avenida Professor Frederico Herman Júnior,"Apartamento à venda em Pinheiros com 319 m², 3 quartos, 3 suítes, 4 vagas",4 vagas,8 Banheiros,Indisponivel,R$ 4.500/mês,R$ 1.200/ano
0,R$ 2.300.000,Imóvel T893UK,Apartamento em São Paulo,Rua Dona Luiza Tolle,"Apartamento à venda em Santana com 320 m², 4 quartos, 4 suítes, 6 vagas",6 vagas,6 Banheiros,Lavabo,R$ 4.500/mês,R$ 2.136/ano
0,R$ 1.950.000,Imóvel Z5310X,Apartamento em São Paulo,Rua Piracema,"Apartamento à venda em Santana com 139 m², 3 quartos, 3 suítes, 2 vagas",2 vagas,4 Banheiros,Indisponivel,R$ 1.300/mês,R$ 7.140/mês
